Date,Close,Open,High,Low,Volume,Change
1988-02-23,650.85,650.85,650.85,650.85,8560000.0,-0.0113
1988-02-24,656.79,656.79,656.79,656.79,9560000.0,0.0091
1988-02-26,635.1,635.1,635.1,635.1,6530000.0,-0.033
1988-02-27,633.23,633.23,633.23,633.23,4220000.0,-0.0029
1988-02-29,612.35,612.35,612.35,612.35,5160000.0,-0.033
1988-03-02,608.24,608.24,608.24,608.24,7440000.0,-0.0067
1988-03-03,613.01,613.01,613.01,613.01,7790000.0,0.0078000000000000005
1988-03-04,615.95,615.95,615.95,615.95,6520000.0,0.0048
1988-03-05,618.42,618.42,618.42,618.42,3900000.0,0.004
1988-03-07,614.7,614.7,614.7,614.7,4980000.0,-0.006
1988-03-08,603.41,603.41,603.41,603.41,4960000.0,-0.0184
1988-03-09,611.88,611.88,611.88,611.88,7190000.0,0.013999999999999999
1988-03-11,608.78,608.78,608.78,608.78,6810000.0,-0.0051
1988-03-12,610.33,610.33,610.33,610.33,4260000.0,0.0025
1988-03-14,612.21,612.21,612.21,612.21,6160000.0,0.0031
1988-03-15,625.17,625.17,625.17,625.17,6760000.0,0.0212
1988-03-16,627.49,627.49,627.49,627.49,8140000.000000001,0.0037
1988-03-17,632.16,632.16,632.16,632.16,7590000.0,0.0074
1988-03-18,636.72,636.72,636.72,636.72,8950000.0,0.0072
1988-03-19,636.79,636.79,636.79,636.79,5350000.0,0.0001
1988-03-21,638.81,638.81,638.81,638.81,7110000.0,0.0032
1988-03-22,622.79,622.79,622.79,622.79,6370000.0,-0.025099999999999997
1988-03-23,623.78,623.78,623.78,623.78,6110000.0,0.0016
1988-03-24,625.42,625.42,625.42,625.42,5660000.0,0.0026
1988-03-25,632.36,632.36,632.36,632.36,7510000.0,0.0111
1988-03-26,634.2,634.2,634.2,634.2,5910000.0,0.0029
1988-03-28,631.03,631.03,631.03,631.03,5840000.0,-0.005
1988-03-29,638.59,638.59,638.59,638.59,7740000.0,0.012
1988-03-30,644.75,644.75,644.75,644.75,7370000.0,0.0096
1988-03-31,656.47,656.47,656.47,656.47,10240000.0,0.0182
1988-04-01,654.32,654.32,654.32,654.32,10340000.0,-0.0033
1988-04-02,655.54,655.54,655.54,655.54,5370000.0,0.0019
1988-04-04,658.66,658.66,658.66,658.66,8970000.0,0.0048
1988-04-06,656.26,656.26,656.26,656.26,10240000.0,-0.0036
1988-04-07,653.66,653.66,653.66,653.66,10140000.0,-0.004
1988-04-08,648.19,648.19,648.19,648.19,8780000.0,-0.0084
1988-04-09,648.71,648.71,648.71,648.71,4350000.0,0.0008
1988-04-11,641.05,641.05,641.05,641.05,4880000.0,-0.0118
1988-04-12,640.39,640.39,640.39,640.39,6000000.0,-0.001
1988-04-13,649.72,649.72,649.72,649.72,6430000.0,0.0146
1988-04-14,646.14,646.14,646.14,646.14,4960000.0,-0.0055000000000000005
1988-04-15,645.53,645.53,645.53,645.53,3660000.0,-0.0009
1988-04-16,645.38,645.38,645.38,645.38,3220000.0,-0.0002
1988-04-18,635.28,635.28,635.28,635.28,4570000.0,-0.015600000000000001
1988-04-19,632.54,632.54,632.54,632.54,5370000.0,-0.0043
1988-04-20,637.4,637.4,637.4,637.4,6730000.0,0.0077
1988-04-21,627.92,627.92,627.92,627.92,4760000.0,-0.0149
1988-04-22,630.67,630.67,630.67,630.67,6890000.0,0.0044
1988-04-23,641.83,641.83,641.83,641.83,4540000.0,0.0177
1988-04-25,644.7,644.7,644.7,644.7,7530000.0,0.0045000000000000005
1988-04-27,618.73,618.73,618.73,618.73,4090000.0,-0.0403
1988-04-28,633.24,633.24,633.24,633.24,5480000.0,0.0235
1988-04-29,649.88,649.88,649.88,649.88,10830000.0,0.0263
1988-04-30,647.18,647.18,647.18,647.18,6220000.0,-0.0042
1988-05-02,650.03,650.03,650.03,650.03,8750000.0,0.0044
1988-05-03,648.52,648.52,648.52,648.52,9740000.0,-0.0023
1988-05-04,645.69,645.69,645.69,645.69,8210000.000000001,-0.0044
1988-05-06,639.77,639.77,639.77,639.77,7080000.0,-0.0092
1988-05-07,639.77,639.77,639.77,639.77,3760000.0,0.0
1988-05-09,635.47,635.47,635.47,635.47,5220000.0,-0.0067
1988-05-10,634.05,634.05,634.05,634.05,5570000.0,-0.0022
1988-05-11,636.68,636.68,636.68,636.68,6800000.0,0.0040999999999999995
1988-05-12,650.66,650.66,650.66,650.66,10250000.0,0.022000000000000002
1988-05-13,655.51,655.51,655.51,655.51,11730000.0,0.0075
1988-05-14,657.57,657.57,657.57,657.57,8420000.0,0.0031
1988-05-16,658.65,658.65,658.65,658.65,9940000.0,0.0016
1988-05-17,670.31,670.31,670.31,670.31,14800000.0,0.0177
1988-05-18,678.77,678.77,678.77,678.77,15530000.0,0.0126
1988-05-19,678.24,678.24,678.24,678.24,14230000.0,-0.0008
1988-05-20,691.58,691.58,691.58,691.58,17910000.0,0.0197
1988-05-21,698.29,698.29,698.29,698.29,11590000.0,0.0097
1988-05-24,705.51,705.51,705.51,705.51,15170000.0,0.0103
1988-05-25,703.54,703.54,703.54,703.54,14190000.0,-0.0028000000000000004
1988-05-26,716.85,716.85,716.85,716.85,15580000.0,0.0189
1988-05-27,713.12,713.12,713.12,713.12,12900000.0,-0.0052
1988-05-28,716.79,716.79,716.79,716.79,10990000.0,0.0051
1988-05-30,716.89,716.89,716.89,716.89,14170000.0,0.0001
1988-05-31,717.35,717.35,717.35,717.35,13960000.0,0.0006
1988-06-01,723.5,723.5,723.5,723.5,15390000.0,0.0086
1988-06-02,722.7,722.7,722.7,722.7,12910000.0,-0.0011
1988-06-03,729.67,729.67,729.67,729.67,15600000.0,0.0096
1988-06-04,728.28,728.28,728.28,728.28,7970000.0,-0.0019
1988-06-07,733.12,733.12,733.12,733.12,13700000.0,0.0066
1988-06-08,731.99,731.99,731.99,731.99,14850000.0,-0.0015
1988-06-09,737.83,737.83,737.83,737.83,13770000.0,0.008
1988-06-10,731.33,731.33,731.33,731.33,13650000.0,-0.0088
1988-06-11,726.27,726.27,726.27,726.27,7530000.0,-0.0069
1988-06-13,726.47,726.47,726.47,726.47,9670000.0,0.0003
1988-06-14,714.36,714.36,714.36,714.36,7590000.0,-0.0167
